단체명,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
경기 수원시,1.0015 ,-0.3422 ,1.0333 ,-0.0749 ,0.9962 ,0.0601 ,0.0514 ,0.0956 ,0.0069 ,-0.0619 
경기 성남시,1.0082 ,-0.2897 ,1.0184 ,-0.0327 ,0.9967 ,0.0674 ,0.1123 ,0.1462 ,0.5255 ,0.0249 
경기 고양시,1.0056 ,-0.4039 ,1.0462 ,-0.0606 ,0.9952 ,0.0266 ,0.0417 ,0.1164 ,0.1243 ,0.0400 
경기 부천시,1.0071 ,-0.2546 ,1.0268 ,-0.0650 ,0.9942 ,0.0885 ,0.0878 ,0.1371 ,0.0668 ,-0.2054 
경기 용인시,1.0092 ,-0.2384 ,1.0383 ,-0.5010 ,0.9971 ,0.0497 ,0.3399 ,0.2558 ,-0.2536 ,-0.6193 
경기 안산시,0.9989 ,-0.2972 ,2.1459 ,-0.2053 ,0.9951 ,-0.0024 ,0.0722 ,0.0311 ,-0.2889 ,-0.1179 
경기 안양시,0.9949 ,-0.2266 ,0.9756 ,-0.0760 ,0.9956 ,0.0215 ,0.0607 ,0.1255 ,-0.0737 ,-0.0560 
경기 남양주시,1.0001 ,-0.3429 ,1.0925 ,-0.0449 ,0.9941 ,0.0333 ,0.0070 ,0.0767 ,-0.0527 ,-0.2517 
경기 화성시,0.9988 ,-0.5409 ,1.1114 ,-0.0890 ,0.9984 ,0.0255 ,0.0748 ,0.1453 ,-0.1298 ,0.1301 
충북 청주시,0.9961 ,-0.3363 ,1.0701 ,-1.2910 ,0.9957 ,-0.0236 ,0.0733 ,0.0498 ,0.1366 ,-0.0078 
충남 천안시,0.9936 ,-0.3669 ,1.0493 ,-0.1639 ,0.9960 ,0.0652 ,-0.0051 ,0.0888 ,-0.2873 ,0.0152 
전북 전주시,1.0083 ,-0.3816 ,1.0956 ,-0.1015 ,0.9946 ,0.0899 ,0.0870 ,0.2057 ,0.1183 ,0.0294 
경북 포항시,1.0023 ,-0.2124 ,1.0744 ,0.0328 ,0.9961 ,0.0486 ,0.0418 ,0.0147 ,0.3063 ,0.3662 
경남 (신)창원시,0.9985 ,-0.2073 ,1.2375 ,-0.1382 ,0.9968 ,0.0035 ,0.1159 ,0.1603 ,0.3388 ,0.0427 
경남 김해시,0.9982 ,-0.3246 ,1.1461 ,-0.1294 ,0.9964 ,0.0796 ,0.0948 ,0.0486 ,-0.0144 ,0.0979 
